Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-vital-records-fhir-messaging.json	39740	-	0	0	0	0	0	0	4	90	0	0	0	0	0	0	0	1	0	0	161	483	0	0	0	4	0	2
fsh-generated/resources/Bundle-AcknowledgementMessage-Example1.json	2120	6	1	0	0	1	13	0	0	23	0	0	0	0	0	0	0	0	0	0	15	47	0	0	0	0	0	0
fsh-generated/resources/Bundle-BirthReportMessage-Example1.json	3613	7	0	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	17	30	0	0	0	0	0	0
fsh-generated/resources/Bundle-BirthReportUpdateMessage-Example1.json	3650	3	0	0	0	0	2	0	1	9	0	0	0	0	0	0	0	0	0	0	15	38	0	0	0	0	0	0
fsh-generated/resources/Bundle-CauseOfDeathCodingMessage-Example1.json	3751	4	0	0	0	0	2	0	0	11	0	0	0	0	0	0	0	0	0	0	15	31	0	0	0	0	0	0
fsh-generated/resources/Bundle-CauseOfDeathCodingUpdateMessage1.json	3780	4	0	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	16	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-CodedCauseOfFetalDeathMessage-Example1.json	3786	4	0	0	0	0	3	0	0	9	0	0	0	0	0	0	0	0	0	0	15	34	0	0	0	0	0	0
fsh-generated/resources/Bundle-CodedCauseOfFetalDeathUpdateMessage-Example1.json	3823	4	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	16	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeathRecordAliasMessage-Example1.json	2539	3	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeathRecordSubmissionMessage-Example1.json	3201	3	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	24	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeathRecordVoidMessage-Example1.json	1970	3	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	11	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-DemographicsCodingMessage-Example1.json	3751	3	1	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-DemographicsCodingUpdateMessage1.json	3780	4	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-DummyBundle.json	1150	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0
fsh-generated/resources/Bundle-DummyDeathBundle.json	945	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExtractionErrorMessage-Example1.json	2841	3	0	0	0	0	4	0	1	6	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
fsh-generated/resources/Bundle-FetalDeathReportMessage-Example1.json	3634	4	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	14	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-FetalDeathReportUpdateMessage-Example1.json	3671	22	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	14	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-IndustryOccupationCodingMessage-Example1.json	3787	4	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	15	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-IndustryOccupationCodingUpdateMessage1.json	3816	4	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	15	18	0	0	0	0	0	0
fsh-generated/resources/Bundle-ParentalDemographicsCodingMessage-Example1.json	3812	4	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	14	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-ParentalDemographicsCodingUpdateMessage-Example1.json	3849	3	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	15	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-StatusMessage-Example1.json	2076	3	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-UpdateMessage-Example1.json	3591	4	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	1	0	0	16	18	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Payload-version-cs.json	1268	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	12	33106	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-VRM-MessageHeaderURI-cs.json	4687	4	1	0	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	0	29	208	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-VRM-Status-cs.json	1544	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	13	192	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-AcknowledgementHeader-Example1.json	647	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	10	17	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-AliasHeader-Example1.json	532	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-BirthReportHeader-Example1.json	625	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	9	18	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-BirthReportUpdateHeader-Example1.json	644	2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	10	18	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-CauseOfDeathCodingHeader-Example1.json	733	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	11	20	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-CauseOfDeathCodingUpdateHeader-Example1.json	752	2	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	11	17	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-CodedCauseOfFetalDeathHeader-Example1.json	742	1	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-CodedCauseOfFetalDeathUpdateHeader-Example1.json	761	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-DeathRecordSubmissionHeaderExample1.json	642	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-DemographicsCodingHeader-Example1.json	733	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-DemographicsCodingUpdateHeader-Example1.json	752	1	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-ExtractionErrorHeader-Example1.json	770	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-FetalDeathReportHeader-Example1.json	632	2	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-FetalDeathReportUpdateHeader-Example1.json	651	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-IndustryOccupationCodingHeader-Example1.json	751	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-IndustryOccupationCodingUpdateHeader-Example1.json	770	2	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-ParentalDemographicsCodingHeader-Example1.json	755	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-ParentalDemographicsCodingUpdateHeader-Example1.json	774	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-StatusHeader-Example1.json	617	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-SubmissionHeader-Example1.json	623	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	17	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-UpdateHeader-Example1.json	622	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	9	18	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-VoidHeader-Example1.json	539	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	16	0	0	0	0	0	0
fsh-generated/resources/OperationOutcome-Outcome-Example1.json	377	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0
fsh-generated/resources/Parameters-AliasParameters-Example1.json	1051	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	13	0	0	0	0	0	0
fsh-generated/resources/Parameters-Parameters-Example1.json	610	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0
fsh-generated/resources/Parameters-ParametersBirth-Example1.json	620	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	0	0	0	0	0	0
fsh-generated/resources/Parameters-ParametersDeathExample1.json	459	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	15	0	0	0	0	0	0
fsh-generated/resources/Parameters-ParametersFD-Example2.json	622	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	12	0	0	0	0	0	0
fsh-generated/resources/Parameters-StatusParameters-Example1.json	617	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0
fsh-generated/resources/Parameters-VoidParameters-Example1.json	599	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-VRM-AcknowledgementHeader.json	2166	3	0	0	0	0	0	95	1	82	0	0	0	0	0	0	0	0	0	0	190	2015	0	0	0	3	0	2
fsh-generated/resources/StructureDefinition-VRM-AcknowledgementMessage.json	2538	3	0	0	0	0	0	152	0	129	0	0	0	0	0	0	0	1	0	0	366	1245	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-VRM-AliasHeader.json	1751	3	0	0	0	0	0	119	0	60	0	0	0	0	0	0	0	1	0	0	180	443	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-VRM-AliasParameters.json	14057	13	0	0	0	0	0	147	0	139	0	0	0	0	0	0	0	1	0	0	474	653	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-VRM-BirthReportHeader.json	1558	3	0	0	0	0	0	77	0	59	0	0	0	0	0	0	0	0	0	0	173	368	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-VRM-BirthReportMessage.json	3304	4	0	0	0	0	0	208	0	173	0	0	1	0	0	0	0	1	0	0	444	915	0	0	0	9	1	0
fsh-generated/resources/StructureDefinition-VRM-BirthReportUpdateHeader.json	1597	3	0	0	0	0	0	72	0	59	0	0	0	0	0	0	0	0	0	0	212	322	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-VRM-BirthReportUpdateMessage.json	3348	4	0	0	0	0	0	190	0	156	0	0	0	0	0	0	0	1	0	0	438	710	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-VRM-CauseOfDeathCodingHeader.json	1953	3	0	0	0	0	0	72	0	59	0	0	0	0	0	0	0	1	0	0	180	292	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-VRM-CauseOfDeathCodingMessage.json	3298	4	0	0	0	0	0	181	0	164	0	0	0	0	0	0	0	1	0	0	708	684	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-VRM-CauseOfDeathCodingUpdateHeader.json	1999	3	0	0	0	0	0	73	0	58	0	0	0	0	0	0	0	0	0	0	183	340	0	0	0	220	0	0
fsh-generated/resources/StructureDefinition-VRM-CauseOfDeathCodingUpdateMessage.json	3382	3	0	0	0	0	0	216	0	157	0	0	0	0	0	0	0	1	0	0	442	670	0	0	1	10	0	1
fsh-generated/resources/StructureDefinition-VRM-CodedCauseOfFetalDeathHeader.json	2004	3	0	0	0	0	0	69	0	60	0	0	0	0	0	0	0	0	0	0	185	299	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-VRM-CodedCauseOfFetalDeathMessage.json	3484	4	0	0	0	0	0	177	0	151	0	0	0	0	0	0	0	1	0	0	447	705	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-VRM-CodedCauseOfFetalDeathUpdateHeader.json	2043	3	0	0	0	0	0	71	0	61	0	0	0	0	0	0	0	1	0	0	187	289	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-VRM-CodedCauseOfFetalDeathUpdateMessage.json	3528	4	1	0	0	0	0	212	0	172	0	0	1	0	0	0	0	1	0	0	443	685	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-VRM-DeathRecordAliasMessage.json	2624	3	0	0	0	0	0	159	0	119	0	0	0	0	0	0	0	1	0	0	350	537	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-VRM-DeathRecordSubmissionMessage.json	3872	5	0	0	0	0	0	234	0	180	0	0	0	0	0	0	0	1	0	0	529	814	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-VRM-DeathRecordUpdateMessage.json	3339	4	0	0	0	0	0	191	0	157	0	0	0	0	0	0	0	1	0	0	458	703	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-VRM-DeathRecordVoidMessage.json	2632	3	0	0	0	0	0	165	0	119	0	0	0	0	0	0	0	1	0	0	352	610	0	0	0	6	1	1
fsh-generated/resources/StructureDefinition-VRM-DemographicsCodingHeader.json	1949	3	0	0	0	0	0	70	0	78	0	0	0	0	0	0	0	0	0	0	177	262	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-VRM-DemographicsCodingMessage.json	3290	4	0	0	0	0	0	178	0	162	0	0	0	0	0	0	0	1	0	0	425	670	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-VRM-DemographicsCodingUpdateHeader.json	1988	4	0	0	0	0	0	64	0	58	0	0	0	0	0	0	0	0	0	0	188	279	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-VRM-DemographicsCodingUpdateMessage.json	3342	4	0	0	0	0	0	170	0	158	0	0	0	0	0	0	0	1	0	0	434	656	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-VRM-ExtractionErrorHeader.json	2535	3	0	0	0	0	0	90	0	71	0	0	0	0	0	0	0	1	0	0	181	266	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-VRM-ExtractionErrorMessage.json	3247	5	0	0	0	0	0	173	0	160	0	0	0	0	0	0	0	1	0	0	429	692	0	0	0	7	0	1
