Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-vital-records-fhir-messaging.json	24038	-	0	0	0	0	0	0	19	186	0	0	0	0	0	0	0	3	0	0	875	1102	0	0	0	8	0	2
fsh-generated/resources/Bundle-AcknowledgementMessage-Example1.json	2013	30	31	0	2	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	114	222	0	0	0	0	0	0
fsh-generated/resources/Bundle-CauseOfDeathCodedContentBundle-Example1.json	834	18	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	163	0	0	0	0	0	0
fsh-generated/resources/Bundle-CauseOfDeathCodingMessage-Example1.json	3282	20	10	0	0	0	0	0	1	74	0	0	0	0	0	0	0	0	0	0	200	254	0	0	0	0	0	0
fsh-generated/resources/Bundle-CauseOfDeathCodingUpdateMessage1.json	3311	15	8	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	179	230	0	0	1	0	0	0
fsh-generated/resources/Bundle-DeathCertificateDocument-Example1.json	10113	24	43	0	1	0	0	0	0	2799	0	0	0	0	0	0	0	0	0	0	282	269	0	1	0	0	0	0
fsh-generated/resources/Bundle-DeathCertificateDocument-Example2.json	10179	23	15	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	188	264	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeathRecordAliasMessage-Example1.json	2539	16	11	0	1	0	0	0	0	59	0	0	0	0	0	0	0	1	0	0	125	215	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeathRecordSubmissionMessage-Example1.json	14339	18	16	0	0	0	0	0	1	72	0	0	0	0	0	0	0	0	0	0	274	270	0	0	0	0	0	1
fsh-generated/resources/Bundle-DeathRecordVoidMessage-Example1.json	1970	10	11	0	1	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	132	214	0	0	0	0	0	0
fsh-generated/resources/Bundle-DemographicCodedContentBundle-Example1.json	830	11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	167	0	0	0	0	0	0
fsh-generated/resources/Bundle-DemographicsCodingMessage-Example1.json	3276	10	7	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	121	267	0	0	1	0	0	0
fsh-generated/resources/Bundle-DemographicsCodingUpdateMessage1.json	3305	17	7	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	120	241	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExtractionErrorMessage-Example1.json	2734	19	17	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	167	229	0	0	0	0	0	1
fsh-generated/resources/Bundle-StatusMessage-Example1.json	2076	18	10	0	1	0	0	0	1	59	0	0	0	0	0	0	0	0	0	0	148	210	0	0	0	0	0	0
fsh-generated/resources/Bundle-UpdateMessage-Example1.json	14315	24	12	0	0	0	0	0	1	54	0	0	0	0	0	0	0	1	0	0	261	281	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-VRM-MessageHeaderURI-cs.json	2640	20	0	0	2	0	1	0	0	89	0	0	1	0	0	0	0	0	0	0	230	1670	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-VRM-Status-cs.json	1548	16	0	0	1	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	183	314	0	0	0	1	0	0
fsh-generated/resources/Composition-DeathCertificate-Example1.json	3166	16	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	142	183	0	0	0	0	0	0
fsh-generated/resources/Composition-DeathCertificate-Example2.json	3214	22	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	134	179	0	0	1	0	0	0
fsh-generated/resources/MessageHeader-AcknowledgementHeader-Example1.json	647	19	0	0	0	0	0	0	1	70	0	0	0	0	0	0	0	0	0	0	135	156	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-AliasHeader-Example1.json	532	17	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	139	161	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-CauseOfDeathCodingHeader-Example1.json	761	17	0	0	1	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	120	173	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-CauseOfDeathCodingUpdateHeader-Example1.json	780	18	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	145	200	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-DemographicsCodingHeader-Example1.json	760	17	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	143	185	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-DemographicsCodingUpdateHeader-Example1.json	779	16	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	127	177	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-ExtractionErrorHeader-Example1.json	770	8	0	0	1	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	108	202	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-StatusHeader-Example1.json	617	13	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	150	180	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-SubmissionHeader-Example1.json	645	19	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	116	178	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-UpdateHeader-Example1.json	644	18	0	0	1	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	121	177	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-VoidHeader-Example1.json	539	19	0	0	1	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	115	180	0	0	1	0	0	0
fsh-generated/resources/OperationOutcome-Outcome-Example1.json	377	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	115	174	0	0	0	0	0	0
fsh-generated/resources/Parameters-AliasParameters-Example1.json	1051	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	168	0	0	0	0	0	0
fsh-generated/resources/Parameters-Parameters-Example1.json	527	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	145	0	0	0	0	0	0
fsh-generated/resources/Parameters-StatusParameters-Example1.json	617	19	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	99	165	0	0	0	0	0	0
fsh-generated/resources/Parameters-VoidParameters-Example1.json	599	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	138	0	0	0	0	0	0
fsh-generated/resources/Patient-Decedent-Example1.json	4017	20	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	214	140	0	0	1	0	0	0
fsh-generated/resources/Patient-Decedent-Example2.json	4832	20	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	219	188	0	0	0	0	0	1
fsh-generated/resources/Patient-Decedent-Example3.json	1945	18	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	221	153	0	0	0	0	0	0
