URL,Version,Status,OIDs,Name,Title,Description,Used
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/CodeSystem/Payload-version-cs,3.0.0-Preview1,draft,,PayloadVersionCS,Payload Version Identifier Values,"Codesystem for Payload Version Identifier Values. Only versions that are in production use are listed.","ValueSet/Payload-version-vs"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/CodeSystem/VRM-MessageHeaderURI-cs,3.0.0-Preview1,draft,,MessageHeaderURICS,MessageHeader URI Values,"MessageHeader URI Values","ValueSet/VRM-CauseOfDeathCodingUpdateHeaderURI-vs,ValueSet/VRM-StatusHeaderURI-vs,ValueSet/VRM-ExtractionErrorHeaderURI-vs,ValueSet/VRM-VOIDHeaderURI-vs,ValueSet/VRM-DemographicsCodingUpdateHeaderURI-vs,ValueSet/VRM-SubmissionHeaderURI-vs,ValueSet/VRM-RequestHeaderURI-vs,ValueSet/VRM-DemographicsCodingHeaderURI-vs,ValueSet/VRM-AcknowledgementHeaderURI-vs,ValueSet/VRM-UpdateHeaderURI-vs,ValueSet/VRM-IndustryOccupationUpdateHeaderURI-vs,ValueSet/VRM-IndustryOccupationHeaderURI-vs,ValueSet/VRM-CauseOfDeathCodingHeaderURI-vs"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/CodeSystem/VRM-Status-cs,3.0.0-Preview1,draft,,StatusCS,Status Codes Values,"Status Codes Values","ValueSet/VRM-Status-vs"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/CodeSystem/VRM-coded-pregnancy-status-cs,3.0.0-Preview1,draft,,CodedPregnancyStatusCS,Local Coded Pregnancy Status,"Codesystem for pregnancy status for cases not covered by SNOMEDCT.","ValueSet/VRM-PregnancyOutcomes-vs"
http://hl7.org/fhir/bundle-type,4.0.1,active,"2.16.840.1.113883.4.642.4.621",BundleType,BundleType,"Indicates the purpose of a bundle - how it is intended to be used.","ValueSet/bundle-type"
http://hl7.org/fhir/http-verb,4.0.1,active,"2.16.840.1.113883.4.642.4.625",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","ValueSet/http-verb"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/issue-severity,4.0.1,active,"2.16.840.1.113883.4.642.4.409",IssueSeverity,IssueSeverity,"How the issue affects the success of the action.","ValueSet/issue-severity"
http://hl7.org/fhir/issue-type,4.0.1,active,"2.16.840.1.113883.4.642.4.411",IssueType,IssueType,"A code that describes the type of issue.","ValueSet/issue-type"
http://hl7.org/fhir/message-events,4.0.1,active,,MessageEvent,MessageEvent,"One of the message events defined as part of this version of FHIR.","ValueSet/message-events"
